true_label,true_domain,sector,category,sim_pred,sim_confidence,sim_correct,sim_top3_correct,sim_top5_correct,hier_pred,hier_confidence,hier_domain,hier_domain_conf,hier_correct,hier_top3_correct,hier_top5_correct,hier_domain_correct
Environmental Consulting,Professional Services,Manufacturing,Farms & Agriculture Production,Plastic Manufacturing,0.4501277804374695,False,True,True,Environmental Consulting,0.7666602230072022,Professional Services,0.81,True,True,True,True
Environmental Consulting,Professional Services,Services,Environmental Engineering Services,Chemical Manufacturing,0.4942457377910614,False,True,True,Commercial Electrical Services,0.2176863764766353,Professional Services,0.43858009492265637,False,False,True,True
Environmental Consulting,Professional Services,Manufacturing,Water Supply & Water Treatment,Real Estate Services,0.39751923084259033,False,True,True,Consulting Services,0.20728664923161455,Professional Services,0.49322148991501763,False,False,True,True
Laboratory Services,Professional Services,Services,Medical Laboratories,Training Services,0.39000844955444336,False,True,True,Laboratory Services,0.1768689507406695,Professional Services,0.4703844547134169,True,True,True,True
Laboratory Services,Professional Services,Manufacturing,Dental Laboratory,Training Services,0.4484832286834717,False,True,True,Boiler Installation Services,0.20565641744663304,Professional Services,0.5279472755822403,False,True,True,True
Laboratory Services,Professional Services,Manufacturing,Laboratory Equipment & Supplies,Chemical Manufacturing,0.37437719106674194,False,True,True,Laboratory Services,0.7298240172863006,Professional Services,0.74,True,True,True,True
Laboratory Services,Professional Services,Wholesale,Laboratory Equipment & Supplies,Chemical Manufacturing,0.4325452148914337,False,False,False,Textile Manufacturing Services,0.322673569315506,Manufacturing & Production,0.7227228003287114,False,False,False,False
Commercial Communication Equipment Installation,Manufacturing & Production,Services,Tech Companies,Commercial Communication Equipment Installation,0.41379791498184204,True,True,True,Advertising Services,0.26999396085739136,Professional Services,0.5,False,False,False,False
Commercial Communication Equipment Installation,Manufacturing & Production,Services,Telecommunications,Commercial Communication Equipment Installation,0.44078493118286133,True,True,True,Alarm Installation Services,0.2944222569516073,Professional Services,0.5908672846952502,False,False,False,False
Commercial Communication Equipment Installation,Manufacturing & Production,Services,"Alarms, Surveillance & Security Systems",Commercial Communication Equipment Installation,0.3670705556869507,True,True,True,Commercial Communication Equipment Installation,0.15049892783164978,Manufacturing & Production,0.41,True,True,True,True
Media Production Services,Manufacturing & Production,Services,Video and Audio Production,Plastic Manufacturing,0.22922620177268982,False,False,False,Plastic Manufacturing,0.07829241454513379,Manufacturing & Production,0.34155089575131464,False,False,False,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.48573780059814453,True,True,True,Furniture Manufacturing,0.24286890029907227,Manufacturing & Production,0.5,True,True,True,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.9637495875358582,True,True,True,Furniture Manufacturing,0.775890311237831,Manufacturing & Production,0.8050745476690335,True,True,True,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.48573780059814453,True,True,True,Furniture Manufacturing,0.24286890029907227,Manufacturing & Production,0.5,True,True,True,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.9741244912147522,True,True,True,Furniture Manufacturing,0.7500758582353592,Manufacturing & Production,0.77,True,True,True,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.9748451113700867,True,True,True,Furniture Manufacturing,0.8286183446645736,Manufacturing & Production,0.85,True,True,True,True
