true_label,true_domain,pred_label,pred_confidence,pred_domain,domain_conf,correct,top3_correct,top5_correct,domain_correct,fuzzy_matches,method,sector,category
Environmental Consulting,Unknown,Environmental Consulting,0.8646215319633483,Professional Services,0.0,True,True,True,False,5,ensemble,Manufacturing,Farms & Agriculture Production
Environmental Consulting,Unknown,Testing and Inspection Services,0.5399199724197388,Professional Services,0.0,False,True,True,False,5,ensemble,Services,Environmental Engineering Services
Environmental Consulting,Unknown,Consulting Services,0.3101354598999023,Professional Services,0.0,False,True,True,False,4,ensemble,Manufacturing,Water Supply & Water Treatment
Laboratory Services,Unknown,Laboratory Services,0.7281210422515869,Professional Services,0.0,True,True,True,False,5,ensemble,Services,Medical Laboratories
Laboratory Services,Unknown,Laboratory Services,0.7397820949554443,Professional Services,0.0,True,True,True,False,5,ensemble,Manufacturing,Dental Laboratory
Laboratory Services,Unknown,Laboratory Services,0.8023403286933899,Professional Services,0.0,True,True,True,False,4,ensemble,Manufacturing,Laboratory Equipment & Supplies
Laboratory Services,Unknown,Chemical Manufacturing,0.5626734867691994,Manufacturing & Production,0.0,False,False,True,False,5,ensemble,Wholesale,Laboratory Equipment & Supplies
Commercial Communication Equipment Installation,Unknown,Alarm Installation Services,0.6208280918498834,Professional Services,0.0,False,False,False,False,5,ensemble,Services,Tech Companies
Commercial Communication Equipment Installation,Unknown,Alarm Installation Services,0.6398152569929758,Professional Services,0.0,False,False,False,False,5,ensemble,Services,Telecommunications
Commercial Communication Equipment Installation,Unknown,Financial Services,0.2973794460296631,Manufacturing & Production,0.0,False,True,True,False,5,ensemble,Services,"Alarms, Surveillance & Security Systems"
Media Production Services,Unknown,Plastic Manufacturing,0.21461310088634492,Manufacturing & Production,0.0,False,True,True,False,5,ensemble,Services,Video and Audio Production
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.6598795056343079,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Textile Manufacturing Services,0.7228512167930603,Manufacturing & Production,0.0,False,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.6598795056343079,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,1.0,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.8957728147506714,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.5914351403713226,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.6598795056343079,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.7935412526130676,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Office Furniture
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.9620968699455261,Professional Services,0.0,True,True,True,False,5,ensemble,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.9587998390197754,Professional Services,0.0,True,True,True,False,5,ensemble,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.44312338531017303,Professional Services,0.0,True,True,True,False,5,ensemble,Wholesale,Livestock & Animal Raising
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.8109591603279114,Professional Services,0.0,True,True,True,False,0,ensemble,Wholesale,Livestock & Animal Raising
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.805290937423706,Professional Services,0.0,True,True,True,False,0,ensemble,Wholesale,Livestock & Animal Raising
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.8120623230934143,Professional Services,0.0,True,True,True,False,0,ensemble,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,Unknown,Livestock Dealer Services,0.9620968699455261,Professional Services,0.0,True,True,True,False,5,ensemble,Manufacturing,Livestock & Animal Raising
Carpentry Services,Unknown,Commercial Construction Services,0.6128464341163635,Construction & Real Estate,0.0,False,True,True,False,5,ensemble,Services,Roofing Contractors
Marketing Services,Unknown,Textile Manufacturing Services,0.6506260514259339,Manufacturing & Production,0.0,False,False,False,False,0,ensemble,Services,Real Estate Rental
Frozen Food Processing,Unknown,Frozen Food Processing,0.8294215798377991,Manufacturing & Production,0.0,True,True,True,False,0,ensemble,Manufacturing,Fruit & Vegetable - Markets & Stores
Frozen Food Processing,Unknown,Frozen Food Processing,0.9420632719993591,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Wholesale,Fruit & Vegetable - Markets & Stores
Frozen Food Processing,Unknown,Frozen Food Processing,0.29450435042381284,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Ice Cream
Frozen Food Processing,Unknown,Frozen Food Processing,1.0,Manufacturing & Production,0.0,True,True,True,False,5,ensemble,Manufacturing,Fruit & Vegetable - Markets & Stores
Alarm Installation Services,Unknown,Alarm Installation Services,0.6162195801734924,Professional Services,0.0,True,True,True,False,1,ensemble,Services,"Alarms, Surveillance & Security Systems"
Commercial Construction Services,Unknown,Commercial Construction Services,0.9768648743629456,Construction & Real Estate,0.0,True,True,True,False,5,ensemble,Manufacturing,Paper & Cardboard Products
Property Management Services,Unknown,Property Management Services,0.928294837474823,Construction & Real Estate,0.0,True,True,True,False,5,ensemble,Non Profit,Real Estate Associations
Property Management Services,Unknown,Non-Profit Management,0.6303108930587769,Professional Services,0.0,False,False,False,False,5,ensemble,Services,Homelessness Shelter
Property Management Services,Unknown,Property Management Services,0.928294837474823,Construction & Real Estate,0.0,True,True,True,False,5,ensemble,Non Profit,Real Estate Associations
Financial Services,Unknown,Financial Services,1.0,Financial Services,0.0,True,True,True,False,5,ensemble,Services,Loans & Financing
Financial Services,Unknown,Financial Services,1.0,Financial Services,0.0,True,True,True,False,5,ensemble,Services,Cryptocurrency
Financial Services,Unknown,Legal Services,0.41200685501098633,Professional Services,0.0,False,False,True,False,0,ensemble,Services,Money Transfer
Financial Services,Unknown,Financial Services,1.0,Financial Services,0.0,True,True,True,False,5,ensemble,Services,Credit Reporting Services
Financial Services,Unknown,Financial Services,1.0,Financial Services,0.0,True,True,True,False,5,ensemble,Services,Retirement Planning
Financial Services,Unknown,Financial Services,1.0,Financial Services,0.0,True,True,True,False,5,ensemble,Services,"Insurance - Agents, Carriers & Brokers"
Financial Services,Unknown,Financial Services,0.8492268919944763,Financial Services,0.0,True,True,True,False,5,ensemble,Services,Mortgage Brokers
Financial Services,Unknown,Human Resources Services,0.5886983156204223,Professional Services,0.0,False,False,True,False,5,ensemble,Services,Accounting & Bookkeeping Services
