true_label,true_domain,pred_label,pred_confidence,pred_domain,domain_conf,correct,top3_correct,top5_correct,domain_correct,fuzzy_matches,method,sector,category
Environmental Consulting,Unknown,Environmental Consulting,0.720996060371399,Professional Services,0.81,True,True,True,False,0,hybrid,Manufacturing,Farms & Agriculture Production
Environmental Consulting,Unknown,Testing and Inspection Services,0.503625214099884,Professional Services,0.43858009492265637,False,False,True,False,0,hybrid,Services,Environmental Engineering Services
Environmental Consulting,Unknown,Consulting Services,0.2521625518798828,Professional Services,0.49322148991501763,False,False,True,False,0,hybrid,Manufacturing,Water Supply & Water Treatment
Laboratory Services,Unknown,Laboratory Services,0.49769872426986694,Professional Services,0.4703844547134169,True,True,True,False,0,hybrid,Services,Medical Laboratories
Laboratory Services,Unknown,Laboratory Services,0.5096437931060791,Professional Services,0.5279472755822403,True,True,True,False,0,hybrid,Manufacturing,Dental Laboratory
Laboratory Services,Unknown,Laboratory Services,0.6791219711303711,Professional Services,0.74,True,True,True,False,0,hybrid,Manufacturing,Laboratory Equipment & Supplies
Laboratory Services,Unknown,Chemical Manufacturing,0.3766478323936463,Manufacturing & Production,0.7227228003287114,False,False,True,False,0,hybrid,Wholesale,Laboratory Equipment & Supplies
Commercial Communication Equipment Installation,Unknown,HVAC Installation and Service,0.4390260076522827,Professional Services,0.5,False,False,False,False,0,hybrid,Services,Tech Companies
Commercial Communication Equipment Installation,Unknown,Alarm Installation Services,0.4515098663171132,Professional Services,0.5908672846952502,False,False,False,False,0,hybrid,Services,Telecommunications
Commercial Communication Equipment Installation,Unknown,Commercial Communication Equipment Installation,0.2202423334121704,Manufacturing & Production,0.41,True,True,True,False,0,hybrid,Services,"Alarms, Surveillance & Security Systems"
Media Production Services,Unknown,Media Production Services,0.16017776727676392,Manufacturing & Production,0.34155089575131464,True,True,True,False,0,hybrid,Services,Video and Audio Production
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.46505120396614075,Manufacturing & Production,0.5,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.5782497882843017,Manufacturing & Production,0.8050745476690335,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.46505120396614075,Manufacturing & Production,0.5,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.8536108732223511,Manufacturing & Production,0.77,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.7515872716903687,Manufacturing & Production,0.85,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.5897221684455871,Manufacturing & Production,0.97,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
Furniture Manufacturing,Unknown,Furniture Manufacturing,0.46505120396614075,Manufacturing & Production,0.5,True,True,True,False,0,hybrid,Manufacturing,Furniture Stores
