true_label,true_domain,pred_label,pred_confidence,pred_domain,domain_conf,correct,top3_correct,top5_correct,domain_correct,fuzzy_matches,method,sector,category
Environmental Consulting,N/A,Restoration Services,0.6048180460929871,N/A,0.0,False,True,True,False,5,improved_similarity,Manufacturing,Farms & Agriculture Production
Environmental Consulting,N/A,Compliance Services,0.5706313252449036,N/A,0.0,False,False,False,False,5,improved_similarity,Services,Environmental Engineering Services
Environmental Consulting,N/A,Waste Management Services,0.403611421585083,N/A,0.0,False,False,False,False,4,improved_similarity,Manufacturing,Water Supply & Water Treatment
Laboratory Services,N/A,Laboratory Services,0.6802327632904053,N/A,0.0,True,True,True,False,5,improved_similarity,Services,Medical Laboratories
Laboratory Services,N/A,Laboratory Services,0.6904737949371338,N/A,0.0,True,True,True,False,5,improved_similarity,Manufacturing,Dental Laboratory
Laboratory Services,N/A,Chemical Manufacturing,0.40213075280189514,N/A,0.0,False,False,True,False,4,improved_similarity,Manufacturing,Laboratory Equipment & Supplies
Laboratory Services,N/A,Laboratory Services,0.35163477063179016,N/A,0.0,True,True,True,False,5,improved_similarity,Wholesale,Laboratory Equipment & Supplies
Commercial Communication Equipment Installation,N/A,Marketing Services,0.5920880436897278,N/A,0.0,False,False,False,False,5,improved_similarity,Services,Tech Companies
Commercial Communication Equipment Installation,N/A,Well Maintenance Services,0.5710160136222839,N/A,0.0,False,False,False,False,5,improved_similarity,Services,Telecommunications
Commercial Communication Equipment Installation,N/A,Marketing Services,0.3267960250377655,N/A,0.0,False,False,False,False,5,improved_similarity,Services,"Alarms, Surveillance & Security Systems"
Media Production Services,N/A,Media Production Services,0.4004444181919098,N/A,0.0,True,True,True,False,5,improved_similarity,Services,Video and Audio Production
Furniture Manufacturing,N/A,Wood Product Manufacturing,0.4644331634044647,N/A,0.0,False,True,True,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Textile Manufacturing Services,0.5424726009368896,N/A,0.0,False,False,False,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Wood Product Manufacturing,0.4644331634044647,N/A,0.0,False,True,True,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Furniture Manufacturing,0.6728405356407166,N/A,0.0,True,True,True,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Furniture Manufacturing,0.4167005717754364,N/A,0.0,True,True,True,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Marketing Services,0.31583526730537415,N/A,0.0,False,False,False,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Wood Product Manufacturing,0.4644331634044647,N/A,0.0,False,True,True,False,5,improved_similarity,Manufacturing,Furniture Stores
Furniture Manufacturing,N/A,Furniture Manufacturing,0.6715174317359924,N/A,0.0,True,True,True,False,5,improved_similarity,Manufacturing,Office Furniture
Livestock Dealer Services,N/A,Livestock Dealer Services,0.548566997051239,N/A,0.0,True,True,True,False,5,improved_similarity,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,N/A,Livestock Dealer Services,0.5457896590232849,N/A,0.0,True,True,True,False,5,improved_similarity,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,N/A,Laboratory Services,0.225,N/A,0.0,False,False,False,False,5,improved_similarity,Wholesale,Livestock & Animal Raising
