true_label,true_domain,pred_label,pred_confidence,pred_domain,domain_conf,correct,top3_correct,top5_correct,domain_correct,fuzzy_matches,method,sector,category
Environmental Consulting,Professional Services,Environmental Consulting,0.7666602230072022,Professional Services,0.81,True,True,True,True,0,hierarchical,Manufacturing,Farms & Agriculture Production
Environmental Consulting,Professional Services,Commercial Electrical Services,0.2176863764766353,Professional Services,0.43858009492265637,False,False,True,True,0,hierarchical,Services,Environmental Engineering Services
Environmental Consulting,Professional Services,Consulting Services,0.20728664923161455,Professional Services,0.49322148991501763,False,False,True,True,0,hierarchical,Manufacturing,Water Supply & Water Treatment
Laboratory Services,Professional Services,Laboratory Services,0.1768689507406695,Professional Services,0.4703844547134169,True,True,True,True,0,hierarchical,Services,Medical Laboratories
Laboratory Services,Professional Services,Boiler Installation Services,0.20565641744663304,Professional Services,0.5279472755822403,False,True,True,True,0,hierarchical,Manufacturing,Dental Laboratory
Laboratory Services,Professional Services,Laboratory Services,0.7298240172863006,Professional Services,0.74,True,True,True,True,0,hierarchical,Manufacturing,Laboratory Equipment & Supplies
Laboratory Services,Professional Services,Textile Manufacturing Services,0.322673569315506,Manufacturing & Production,0.7227228003287114,False,False,False,False,0,hierarchical,Wholesale,Laboratory Equipment & Supplies
Commercial Communication Equipment Installation,Manufacturing & Production,Advertising Services,0.26999396085739136,Professional Services,0.5,False,False,False,False,0,hierarchical,Services,Tech Companies
Commercial Communication Equipment Installation,Manufacturing & Production,Alarm Installation Services,0.2944222569516073,Professional Services,0.5908672846952502,False,False,False,False,0,hierarchical,Services,Telecommunications
Commercial Communication Equipment Installation,Manufacturing & Production,Commercial Communication Equipment Installation,0.15049892783164978,Manufacturing & Production,0.41,True,True,True,True,0,hierarchical,Services,"Alarms, Surveillance & Security Systems"
Media Production Services,Manufacturing & Production,Plastic Manufacturing,0.07829241454513379,Manufacturing & Production,0.34155089575131464,False,False,False,True,0,hierarchical,Services,Video and Audio Production
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.24286890029907227,Manufacturing & Production,0.5,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.775890311237831,Manufacturing & Production,0.8050745476690335,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.24286890029907227,Manufacturing & Production,0.5,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.7500758582353592,Manufacturing & Production,0.77,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.8286183446645736,Manufacturing & Production,0.85,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.9533841723203659,Manufacturing & Production,0.97,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.24286890029907227,Manufacturing & Production,0.5,True,True,True,True,0,hierarchical,Manufacturing,Furniture Stores
Furniture Manufacturing,Manufacturing & Production,Furniture Manufacturing,0.31965032339096067,Manufacturing & Production,0.62,True,True,True,True,0,hierarchical,Manufacturing,Office Furniture
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.71220753967762,Professional Services,0.73,True,True,True,True,0,hierarchical,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.8843471390008927,Professional Services,0.91,True,True,True,True,0,hierarchical,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.5273066858670096,Professional Services,0.7683922492345786,True,True,True,True,0,hierarchical,Wholesale,Livestock & Animal Raising
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.819228575793105,Professional Services,0.8287206316539312,True,True,True,True,0,hierarchical,Wholesale,Livestock & Animal Raising
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.9325312654208566,Professional Services,0.941445280029346,True,True,True,True,0,hierarchical,Wholesale,Livestock & Animal Raising
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.7292057902353019,Professional Services,0.741556478245168,True,True,True,True,0,hierarchical,Manufacturing,Livestock & Animal Raising
Livestock Dealer Services,Professional Services,Livestock Dealer Services,0.71220753967762,Professional Services,0.73,True,True,True,True,0,hierarchical,Manufacturing,Livestock & Animal Raising
Carpentry Services,Professional Services,Commercial Construction Services,0.14370804727077482,Construction & Real Estate,0.3,False,False,False,False,0,hierarchical,Services,Roofing Contractors
Marketing Services,Retail & Commerce,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False,0,hierarchical,Services,Real Estate Rental
Frozen Food Processing,Manufacturing & Production,Frozen Food Processing,0.9326996159553528,Manufacturing & Production,0.94,True,True,True,True,0,hierarchical,Manufacturing,Fruit & Vegetable - Markets & Stores
Frozen Food Processing,Manufacturing & Production,Frozen Food Processing,0.8801189088821411,Manufacturing & Production,0.99,True,True,True,True,0,hierarchical,Wholesale,Fruit & Vegetable - Markets & Stores
Frozen Food Processing,Manufacturing & Production,Food Processing Services,0.1986165278354345,Manufacturing & Production,0.49568996080872707,False,True,True,True,0,hierarchical,Manufacturing,Ice Cream
Frozen Food Processing,Manufacturing & Production,Frozen Food Processing,0.9491393190622329,Manufacturing & Production,0.99,True,True,True,True,0,hierarchical,Manufacturing,Fruit & Vegetable - Markets & Stores
Alarm Installation Services,Professional Services,Alarm Installation Services,0.2523738179528787,Professional Services,0.43506348367052877,True,True,True,True,0,hierarchical,Services,"Alarms, Surveillance & Security Systems"
Commercial Construction Services,Construction & Real Estate,Commercial Construction Services,0.8264503848552703,Construction & Real Estate,0.86,True,True,True,True,0,hierarchical,Manufacturing,Paper & Cardboard Products
Property Management Services,Construction & Real Estate,Property Management Services,0.7029903842394231,Construction & Real Estate,0.7232712047009044,True,True,True,True,0,hierarchical,Non Profit,Real Estate Associations
Property Management Services,Construction & Real Estate,Fundraising Services,0.3076607402191804,Professional Services,0.7010022193681837,False,False,False,False,0,hierarchical,Services,Homelessness Shelter
Property Management Services,Construction & Real Estate,Property Management Services,0.7029903842394231,Construction & Real Estate,0.7232712047009044,True,True,True,True,0,hierarchical,Non Profit,Real Estate Associations
Financial Services,Financial Services,Financial Services,0.8991590356826783,Financial Services,0.92,True,True,True,True,0,hierarchical,Services,Loans & Financing
Financial Services,Financial Services,Financial Services,0.8646249193956647,Financial Services,0.909861943944927,True,True,True,True,0,hierarchical,Services,Cryptocurrency
Financial Services,Financial Services,Advertising Services,0.1285406172080912,Professional Services,0.4315044422788316,False,False,False,False,0,hierarchical,Services,Money Transfer
Financial Services,Financial Services,Financial Services,0.8035411237256801,Financial Services,0.8189723320158103,True,True,True,True,0,hierarchical,Services,Credit Reporting Services
Financial Services,Financial Services,Financial Services,0.8440995359420777,Financial Services,0.88,True,True,True,True,0,hierarchical,Services,Retirement Planning
Financial Services,Financial Services,Financial Services,0.9511461639404296,Financial Services,0.96,True,True,True,True,0,hierarchical,Services,"Insurance - Agents, Carriers & Brokers"
Financial Services,Financial Services,Financial Services,0.23797529740441115,Financial Services,0.3985338345864662,True,True,True,True,0,hierarchical,Services,Mortgage Brokers
Financial Services,Financial Services,Human Resources Services,0.7714903548483512,Professional Services,0.789331886319482,False,False,False,False,0,hierarchical,Services,Accounting & Bookkeeping Services
Financial Services,Financial Services,Financial Services,0.8035411237256801,Financial Services,0.8189723320158103,True,True,True,True,0,hierarchical,Services,Credit Reporting Services
Financial Services,Financial Services,Financial Services,0.9038244570436932,Financial Services,0.9438095238095238,True,True,True,True,0,hierarchical,Services,Credit Reporting Services
Financial Services,Financial Services,Content Creation Services,0.9419139558076858,Professional Services,0.97,False,False,False,False,0,hierarchical,Services,Investment Consultants & Financial Advisors
Financial Services,Financial Services,Financial Services,0.9511461639404296,Financial Services,0.96,True,True,True,True,0,hierarchical,Services,"Insurance - Agents, Carriers & Brokers"
Financial Services,Financial Services,Financial Services,0.9160499147680924,Financial Services,0.9481362007168458,True,True,True,True,0,hierarchical,Services,Credit Unions & Savings Institutions
Financial Services,Financial Services,Financial Services,0.8866149422902849,Financial Services,0.9206121282740614,True,True,True,True,0,hierarchical,Services,Credit Unions & Savings Institutions
Financial Services,Financial Services,Financial Services,0.23797529740441115,Financial Services,0.3985338345864662,True,True,True,True,0,hierarchical,Services,Mortgage Brokers
Financial Services,Financial Services,Financial Services,0.23797529740441115,Financial Services,0.3985338345864662,True,True,True,True,0,hierarchical,Services,Mortgage Brokers
Financial Services,Financial Services,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False,0,hierarchical,Services,Cryptocurrency
Financial Services,Financial Services,Financial Services,0.8612166154109668,Financial Services,0.8910951388562434,True,True,True,True,0,hierarchical,Services,Investment Firms & Venture Capital
Single Family Residential Construction,Construction & Real Estate,Wood Product Manufacturing,0.24201239635182584,Manufacturing & Production,0.4727648660410936,False,False,False,False,0,hierarchical,Manufacturing,Wood Building Material Stores
Recycling Services,Professional Services,Asphalt Production Services,0.17367429971694945,Manufacturing & Production,0.36,False,False,False,False,0,hierarchical,Manufacturing,"Minerals, Earths & Ores"
Pharmaceutical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.3981147962808609,Manufacturing & Production,0.82,False,True,True,True,0,hierarchical,Manufacturing,Pharmaceutical Products
Confectionery Manufacturing,Manufacturing & Production,Confectionery Manufacturing,0.2165246081255708,Manufacturing & Production,0.4130634278002699,True,True,True,True,0,hierarchical,Manufacturing,Bakeries & Desserts
Industrial Machinery Installation,Manufacturing & Production,Industrial Machinery Installation,0.2999868547916412,Manufacturing & Production,0.59,True,True,True,True,0,hierarchical,Manufacturing,Heavy Construction Equipment
Industrial Machinery Installation,Manufacturing & Production,Commercial Communication Equipment Installation,0.11301922412306976,Manufacturing & Production,0.3184893922022129,False,True,True,True,0,hierarchical,Manufacturing,Industrial Machinery & Supplies
Industrial Machinery Installation,Manufacturing & Production,Industrial Machinery Installation,0.938602123260498,Manufacturing & Production,0.96,True,True,True,True,0,hierarchical,Manufacturing,Industrial Machinery & Supplies
Industrial Machinery Installation,Manufacturing & Production,Industrial Machinery Installation,0.2030454728067234,Manufacturing & Production,0.4227379958259692,True,True,True,True,0,hierarchical,Manufacturing,Industrial Machinery & Supplies
Industrial Machinery Installation,Manufacturing & Production,Industrial Machinery Installation,0.9435892295837403,Manufacturing & Production,0.96,True,True,True,True,0,hierarchical,Manufacturing,Industrial Machinery & Supplies
Community Engagement Services,Professional Services,Non-Profit Management,0.8786204419234058,Professional Services,0.8823346458789701,False,True,True,True,0,hierarchical,Government,"Executive, Legislative & Government Institutions"
Community Engagement Services,Professional Services,Non-Profit Management,0.1468051574628817,Professional Services,0.3924067908174825,False,False,False,True,0,hierarchical,Non Profit,Domestic Violence NGOs
Community Engagement Services,Professional Services,Community Engagement Services,0.8197562852317333,Professional Services,0.8324896350429403,True,True,True,True,0,hierarchical,Government,"Executive, Legislative & Government Institutions"
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.8064367401599883,Manufacturing & Production,0.86,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Pharmaceutical Manufacturing,0.34654880404472355,Manufacturing & Production,0.66,False,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Plastic Manufacturing,0.378245005607605,Manufacturing & Production,0.76,False,False,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.3616914221258946,Manufacturing & Production,0.7918927444794953,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.8811660534143448,Manufacturing & Production,0.89,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.9286050853302257,Manufacturing & Production,0.9718928935388519,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.8753115179322363,Manufacturing & Production,0.8954730390587433,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.7520541191101074,Manufacturing & Production,0.79,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.37252920866012573,Manufacturing & Production,0.74,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.37252920866012573,Manufacturing & Production,0.74,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.8500579190254212,Manufacturing & Production,0.86,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,True,True,0,hierarchical,Manufacturing,Plastics Products
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.8064367401599883,Manufacturing & Production,0.86,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Chemical Manufacturing,Manufacturing & Production,Chemical Manufacturing,0.37252920866012573,Manufacturing & Production,0.74,True,True,True,True,0,hierarchical,Manufacturing,Chemicals
Publishing Services,Professional Services,Advertising Services,0.18623481004338807,Professional Services,0.5304843508585312,False,False,False,True,0,hierarchical,Services,Newspapers & Magazines
Publishing Services,Professional Services,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False,0,hierarchical,Manufacturing,Livestock & Animal Raising
Publishing Services,Professional Services,Publishing Services,0.8802347359032201,Professional Services,0.9110947474109073,True,True,True,True,0,hierarchical,Manufacturing,Livestock & Animal Raising
Fire Protection System Services,Software & Technology,Fire Protection System Services,0.8487419652938842,Software & Technology,0.88,True,True,True,True,0,hierarchical,Services,"Alarms, Surveillance & Security Systems"
Wood Product Manufacturing,Manufacturing & Production,Industrial Machinery Installation,0.19496134078841107,Manufacturing & Production,0.5718927444794953,False,True,True,True,0,hierarchical,Manufacturing,Musical Instruments & Music Stores
Wood Product Manufacturing,Manufacturing & Production,Wood Product Manufacturing,0.2955276895511744,Manufacturing & Production,0.578512674093904,True,True,True,True,0,hierarchical,Wholesale,Renewable energy companies
Wood Product Manufacturing,Manufacturing & Production,Industrial Machinery Installation,0.28455668687820435,Manufacturing & Production,0.5,False,False,True,True,0,hierarchical,Manufacturing,Wood Building Material Stores
Wood Product Manufacturing,Manufacturing & Production,Wood Product Manufacturing,0.3923410153388977,Manufacturing & Production,0.62,True,True,True,True,0,hierarchical,Manufacturing,Building Material Manufacturers
