company_index,description,business_tags,sector,category,niche,selected_labels,primary_label,confidence,source,method,timestamp,api_calls,reasoning,validation_type
0,"Welchcivils is a civil engineering and construction company that specializes in designing and building utility network connections across the UK. They offer multi-utility solutions that combine electricity, gas, water, and fibre optic installation into a single contract. Their design engineer teams are capable of designing electricity, water and gas networks from existing network connection points to meter locations at the development, as well as project management of reinforcements and diversions. They provide custom connection solutions that take into account any existing assets, maximize the usage of every trench, and meet project deadlines. Welchcivils has considerable expertise installing gas and electricity connections in a variety of market categories, including residential, commercial, and industrial projects, as as well.","['Construction Services', 'Multi-utilities', 'Utility Network Connections Design and Construction', 'Water Connection Installation', 'Multi-utility Connections', 'Fiber Optic Installation']",Services,Civil Engineering Services,Other Heavy and Civil Engineering Construction,"['Utility Network Connections Design and Construction', 'Multi-utility Connections', 'Water Connection Installation', 'Fiber Optic Installation']",Utility Network Connections Design and Construction,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:26:13.075887,2,"The company's core business is explicitly described as designing and building utility network connections. Business tags and description directly reference utility network construction, water connections, multi-utility solutions, and fiber optic installation. Other labels represent supporting activities (e.g., excavation) or unrelated services (e.g., commercial construction).",positive
1,"Kyoto Vegetable Specialists Uekamo, also known as Iwa-machi, is a company based in Kyoto, Japan that specializes in the sale of vegetables. They have been in business for ten years and offer a collection of vegetable recipes through their Keiō Vegetable Recipe Collection and Online Shop. The company is directly owned by Uekamoo Farm, Uekame Farm, and Lobechi Shijo-hara Farm. They offer a variety of vegetable products, including suguki-zuke and Kamoo eggplant, and also accept production cultivation according to customer requests. Iwaichi Limited Company uses their experience in production and sales to provide tailored vegetables to meet customer needs and also accepts cultivation of products according to their requirements.","['Wholesale', 'Dual-task Movement Products', 'Cast Iron Products Manufacturer', 'Manufacturing Technology', 'Food and Beverage', 'Rice And Noodles', 'High-quality Gloss of Cast Iron', 'Rice Wholesaler', 'Miscellaneous Crop Farming', 'Health and Wellness Products', 'Agricultural Cooperative', 'Medical Practice Based on Eastern Medicine', 'Production', 'Rice Pudding']",Manufacturing,Fruit & Vegetable - Markets & Stores,"Frozen Fruit, Juice, and Vegetable Manufacturing","['Wholesale', 'Rice Wholesaler', 'Miscellaneous Crop Farming']",Wholesale,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:30:02.443858,2,"The company's core business is explicitly described as vegetable sales, with business tags emphasizing wholesale distribution (Wholesale, Rice Wholesaler). While crop farming and rice specialization are present, revenue generation primarily comes from distributing agricultural products. Most labels (e.g., Frozen Food Processing, Canning, Health Services) describe adjacent activities not supported by the core description.",positive
2,"Loidholdhof Integrative Hofgemeinschaft is a company that offers a range of services and products to its customers. Their products are all handmade and of the highest quality, produced on a biodynamic basis with a focus on freshness and quality. The company's product range includes homemade bread, honey from their own beekeeping, syrup, and fresh vegetables, which can be purchased in their farm shop. In addition to their farm products, they also have a farm shop and cafe where customers can enjoy fresh coffee and delicious cakes.","['Living Forms', 'Farm Cafe', 'Fresh Coffee', 'Community Engagement', 'Freshly Baked Bread', 'Social Interaction Opportunities', 'Fresh Vegetables', 'Homemade Honey', 'Delicious Cakes', 'Community-oriented Living', 'Handmade Products', 'Fresh Juices', 'Farm Fresh Products', 'Integrated Farming Community', 'Biodynamic Farming']",Manufacturing,Farms & Agriculture Production,All Other Miscellaneous Crop Farming,"['Vegetable Farming', 'Integrated Farming Community', 'Bakery Production Services', 'Non-Alcoholic Beverage Manufacturing', 'Organic Farming']",Vegetable Farming,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:31:41.168497,2,"The core business is biodynamic crop farming (explicitly mentioned in the description and niche), with 'Fresh Vegetables' as a key product. Secondary activities include value-added processing of farm outputs: bakery (bread/cakes), beverage (coffee/juices), and community integration. Organic Farming reflects their biodynamic methods. Other labels represent supporting activities or outcomes, not primary revenue streams.",positive
3,"PATAGONIA Chapa Y Pintura is an auto body shop located in Comodoro Rivadavia, Chubut Province, Argentina. The company specializes in providing auto body repair services.","['Automotive Body Repair Services', 'Interior Repair Services']",Services,Auto Body Shops,"Automotive Body, Paint, and Interior Repair and Maintenance","['Auto Body Shops', 'Automotive Body Repair Services', 'Painting Services', 'Spray Painting Services', 'Interior Repair Services']",Auto Body Shops,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:33:59.553168,2,"The company is explicitly described as an auto body shop specializing in auto body repair services. Business tags confirm Automotive Body Repair Services and Interior Repair Services as core offerings. Industry context places it firmly in Auto Body Shops with a niche in body, paint, and interior repair. Painting and spray painting are inherent to auto body work, while interior repair aligns with their business tags. Other labels relate to construction or unrelated services beyond the company's a",positive
4,"Stanica WODNA PTTK Swornegacie is a cultural establishment located in Swornychgaciach, Poland. It is a popular destination for kayakers and tourists of all levels, offering a variety of activities and events. The establishment is managed by Zbigniew Galiński.","['Cultural Activities', 'Accommodation Services', 'Kayak Rentals', 'Small Gastronomy Products', 'Tourism Services', 'Recreational Activities', 'Cultural Center']",Services,Boat Tours & Cruises,"Scenic and Sightseeing Transportation, Water","['Kayak Rentals', 'Tourism Services', 'Water Sports Services', 'Recreational Activities', 'Accommodation Services']",Kayak Rentals,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:34:53.472280,2,"The company's core value proposition centers around water-based tourism and recreation in a key kayaking destination. While it offers accommodation and gastronomy, these are secondary to facilitating kayaking experiences. Payment primarily comes from equipment rentals (kayaks) and tourism services. Industry context explicitly lists 'Boat Tours & Cruises' and 'Water' as its niche, with kayaking being the dominant activity mentioned.",positive
5,"BIQ Benefícios is a Brazilian company that specializes in generating benefits for both individuals and businesses. With a structure of three large companies in the food sector and 20 years of experience, BIQ Beneficios has extensive knowledge in this field. The company aims to revolutionize the market through quality services for its customers, accredited employees, and collaborators. BIQ Benefits is duly accredited by the PAT (Worker Food Program) and offers a wide network of accredited establishments that provides employees with the freedom to choose healthy food options. The BIQ Duo card is perfect for those who travel frequently. The app allows users to perform balance queries and statements of BIQ cards, as well as see the average daily spending so that their balance lasts until the end of the month.","['Healthy Food Options', 'Accredited Establishments', 'Daily Spending Tracking Service', 'Benefits and Payment Solutions', 'Balance Queries', 'Balance Statements', 'Benefit Generation', 'Food Cards', 'Flexible and Personalized Benefits Strategy']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","['Payment Processing & Point of Sale', 'Financial Transactions Processing, Reserve, and Clearinghouse Activities', 'Financial Services']",Payment Processing & Point of Sale,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:37:00.955557,2,"BIQ Benefícios specializes in benefit solutions centered around food cards and payment processing, with industry context explicitly placing them under Payment Processing & Point of Sale. Their core revenue comes from transaction processing for benefits at accredited establishments, evidenced by business tags like 'Benefits and Payment Solutions' and 'Daily Spending Tracking Service'. Financial Transactions Processing represents their operational niche, while Financial Services broadly encompasse",positive
6,"EnvCompli is a company that provides personalized Industrial General Permit (IGP) Management services for Storm Water Compliance needs. They offer an assigned specialist to meet all your needs, coordinate your lab sample results, and manage your SMARTs account. Their services include preparing a Storm Water Pollution Prevention Plan (Swppp) with on-site evaluation, BMPs evaluation, Monitoring Implementation Plan, Site Map, and SWPPP revision. They also provide customized Inspection Forms to meet your facility needs. EnvComplI was founded by a Stormwater Compliance expert with experience in various industries such as transportation, metal fabrication, scrap metals, plastic film & extrusion, food processing, oil & gas, wood mills, and aerospace. They provide on-the-spot NEC evaluation and solution to ensure the NEC requirements have been met. Additionally, they offer SMART data entry for AdHoc Report (Lab Report) and Annual Report.","['Source Control', 'Inspection and Sampling Event Forms', 'Stormwater Management', 'State Water Boards Smarts']",Services,Environmental Engineering Services,Environmental Consulting Services,"['Environmental Consulting', 'Compliance Services', 'Testing and Inspection Services']",Environmental Consulting,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:38:51.115666,2,"EnvCompli's core business is providing specialized consulting for stormwater regulatory compliance, specifically Industrial General Permit (IGP) management. They generate revenue through expert guidance on environmental regulations, compliance coordination, and inspection/sampling services—aligning perfectly with Environmental Consulting as the primary label. Compliance Services and Testing and Inspection Services are secondary due to their explicit focus on permit adherence and inspection activ",positive
7,"Corrugated Beam Form Ltd is a company based in Walsall, England, specializing in the supply of concrete products.","['Cut Sheets', 'Formwork Installation Services', 'Corner Joints', 'Lightweight Polypropylene Manufacturer', 'Welded Cages', 'Full Drawings Installation Videos', 'Concrete Products', 'Manufacturing', 'Light Weight Polypropyl Alcohol', 'Drawing Take-offs Services', 'Installation Guides', 'Prefabricated U-sections', 'Construction Materials Manufacturing', 'Light and Rigid Formwork']",Manufacturing,Building Material Manufacturers,Engineered Wood Member Manufacturing,"['Construction Materials Manufacturing', 'Concrete Products', 'Manufacturing']",Construction Materials Manufacturing,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:42:11.672506,2,"Corrugated Beam Form Ltd specializes in manufacturing concrete-related products and formwork systems, as per their description and business tags like 'Concrete Products', 'Lightweight Polypropylene Manufacturer', 'Prefabricated U-sections', and 'Construction Materials Manufacturing'. They primarily get paid for producing and supplying these construction materials, with secondary support services like installation guides and videos. The primary line of business is manufacturing, not on-site servi",positive
8,"The company specializes in the production and distribution of packaging materials, including cardboard sealing tape, wholesale packaging, and packaging supplies. They also offer printed packaging services.","['C Packaging Solutions', 'Wholesale Package', 'Printed Packaging', 'Carton Sealing Tape']",Wholesale,Paper & Cardboard Products,Industrial and Personal Service Paper Merchant Wholesalers,"['Paper Merchant Wholesalers', 'Packaging Manufacturing', 'Printed Packaging Services']",Paper Merchant Wholesalers,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:44:40.909348,2,"The company's core business involves both production and distribution of packaging materials, with industry context explicitly classifying them under 'Industrial and Personal Service Paper Merchant Wholesalers' in the Wholesale sector. 'Paper Merchant Wholesalers' is the primary label as it aligns with their distribution role and sector classification. 'Packaging Manufacturing' is included because they produce key items like cardboard sealing tape and packaging supplies. 'Printed Packaging Servi",positive
9,"Indira Caterz And Event Managerzz is a company categorized under restaurant supply stores. It is located in Alappuzha, Kerala, India. The company specializes in providing supplies for restaurants and event management services.","['Event Organization Services', 'Restaurant Supply Store']",Wholesale,Restaurant Equipment,Other Commercial Equipment Merchant Wholesalers,"['Restaurant Equipment', 'Event Planning Services']",Restaurant Equipment,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:49:44.335545,2,"The company is explicitly categorized as a restaurant supply store under the wholesale sector, with industry context confirming 'Restaurant Equipment' as its core business. The business tag 'Restaurant Supply Store' and description ('providing supplies for restaurants') directly align with this label. 'Event Planning Services' is included as a secondary label due to the business tag 'Event Organization Services' and the company name ('Event Managerzz'), indicating event management as a complemen",positive
